train/learning_rate,train/entropy_loss,train/value_loss,time/time_elapsed,time/total_timesteps,train/explained_variance,time/iterations,train/std,train/reward,train/n_updates,train/policy_loss,time/fps
0.0007,-41.788230895996094,44.71990203857422,35,14500,0.0,2900,1.0232822895050049,0.9017811,2899,228.28469848632812,409
0.0007,-41.7860107421875,1.6540324687957764,36,15000,1.1920928955078125e-07,3000,1.0232635736465454,-0.042788588,2999,35.81519317626953,409
0.0007,-41.834068298339844,17.467267990112305,37,15500,0.325092613697052,3100,1.0247684717178345,-0.1756702,3099,-152.5438995361328,409
0.0007,-41.86789321899414,5.326832294464111,39,16000,-0.5021904706954956,3200,1.0261183977127075,0.029711029,3199,76.22859954833984,409
0.0007,-41.83938980102539,0.4549797475337982,40,16500,0.0,3300,1.0250293016433716,-0.867682,3299,-3.322361707687378,409
0.0007,-41.88992691040039,5.9182000160217285,41,17000,0.30424052476882935,3400,1.0268487930297852,-0.45519873,3399,-71.82530212402344,409
0.0007,-41.98092269897461,1.109785795211792,42,17500,0.0,3500,1.0300829410552979,-0.65905124,3499,31.969669342041016,409
0.0007,-42.00946044921875,3.8186306953430176,44,18000,5.960464477539063e-08,3600,1.0311226844787598,-0.18810575,3599,-71.90604400634766,408
0.0007,-42.045074462890625,9.8167724609375,45,18500,4.947185516357422e-05,3700,1.0321546792984009,0.9481138,3699,113.2972183227539,405
0.0007,-42.09748458862305,0.35148900747299194,46,19000,-5.507469177246094e-05,3800,1.03388512134552,-0.1757353,3799,-19.823705673217773,405
0.0007,-42.06328201293945,0.09331317991018295,48,19500,0.46145981550216675,3900,1.0329103469848633,0.86959755,3899,-5.16626501083374,405
0.0007,-42.03032302856445,4.3206682205200195,49,20000,0.0,4000,1.0320444107055664,-0.27286342,3999,82.7694091796875,403
0.0007,-42.026065826416016,2.7011590003967285,50,20500,0.024107396602630615,4100,1.0315666198730469,-0.96010494,4099,15.075483322143555,404
0.0007,-42.02045822143555,2.686767578125,51,21000,0.0,4200,1.031631350517273,-0.08193702,4199,72.36649322509766,405
0.0007,-42.011253356933594,1.2185579538345337,52,21500,0.0,4300,1.0311123132705688,1.4859718,4299,-36.18846893310547,405
0.0007,-42.01948165893555,2.3050901889801025,54,22000,0.0,4400,1.0312514305114746,1.8277686,4399,-0.9737098813056946,406
0.0007,-42.05036163330078,1.143340826034546,55,22500,1.1920928955078125e-07,4500,1.032413125038147,-1.1008278,4499,-6.2882981300354,406
0.0007,-42.0713996887207,6.446214199066162,56,23000,0.04449188709259033,4600,1.0330299139022827,-0.08849541,4599,89.79839324951172,406
0.0007,-42.10960006713867,7.206796169281006,57,23500,0.0,4700,1.034554362297058,0.38131952,4699,-105.4832763671875,406
0.0007,-42.129188537597656,2.89789080619812,59,24000,0.0,4800,1.035383939743042,0.66549504,4799,-65.0291748046875,406
0.0007,-42.167423248291016,39.632301330566406,60,24500,0.005751907825469971,4900,1.0368072986602783,-3.443972,4899,248.7265167236328,407
0.0007,-42.184993743896484,1.1521869897842407,61,25000,-1.1920928955078125e-07,5000,1.037306785583496,-0.085510485,4999,-40.92470169067383,407
0.0007,-42.23769760131836,0.08179309964179993,62,25500,0.07915616035461426,5100,1.0393691062927246,0.7533833,5099,9.190110206604004,407
0.0007,-42.258235931396484,0.34996047616004944,63,26000,0.0,5200,1.0398964881896973,-0.7320826,5199,10.756765365600586,408
0.0007,-42.31201934814453,0.5823448896408081,64,26500,-1.1920928955078125e-07,5300,1.0418418645858765,-0.23326631,5299,19.545888900756836,408
0.0007,-42.320369720458984,2.225613832473755,65,27000,0.0,5400,1.0422886610031128,-0.5082577,5399,57.22382354736328,409
0.0007,-42.34181213378906,3.333124876022339,67,27500,-0.640230655670166,5500,1.043030858039856,-0.58904666,5499,69.51649475097656,409
0.0007,-42.35573959350586,1.9082176685333252,68,28000,0.0,5600,1.0437500476837158,0.18361908,5599,59.312400817871094,409
0.0007,-42.374568939208984,2.915348529815674,69,28500,0.0,5700,1.0443789958953857,0.617152,5699,-66.57557678222656,410
0.0007,-42.4523811340332,5.191768646240234,70,29000,0.0,5800,1.0472753047943115,2.0505373,5799,97.79378509521484,410
0.0007,-42.506446838378906,0.6724632382392883,71,29500,5.960464477539063e-08,5900,1.0490459203720093,-1.4347718,5899,-30.367935180664062,410
0.0007,-42.58219909667969,2.353623867034912,72,30000,0.0,6000,1.051863431930542,1.4104044,5999,-58.732032775878906,410
0.0007,-42.54054641723633,21.206472396850586,74,30500,-17.83757209777832,6100,1.0504968166351318,-1.3719333,6099,150.60862731933594,411
0.0007,-42.57481384277344,15.99512767791748,75,31000,0.0,6200,1.0518170595169067,-1.5413167,6199,168.73587036132812,411
0.0007,-42.63199234008789,1.176586389541626,76,31500,0.0,6300,1.0538020133972168,-0.46190125,6299,-43.00135803222656,411
0.0007,-42.66058349609375,2.8571131229400635,77,32000,0.2781258821487427,6400,1.0544705390930176,3.8310993,6399,53.192787170410156,411
0.0007,-42.717010498046875,157.71969604492188,78,32500,0.10133147239685059,6500,1.0571268796920776,-0.7965067,6499,-488.6177673339844,412
