,date,open,high,low,close,volume,s,tic
145,2022-10-28,1036.27,1044.57,1026.53,1027.36,515678600,ok,VNINDEX
146,2022-10-31,1028.24,1030.32,1005.0,1027.94,581502900,ok,VNINDEX
147,2022-11-01,1029.05,1043.53,1027.39,1033.75,575844000,ok,VNINDEX
148,2022-11-02,1033.04,1034.73,1018.64,1023.19,488346900,ok,VNINDEX
149,2022-11-03,1011.41,1023.95,1010.65,1019.81,404442900,ok,VNINDEX
150,2022-11-04,1008.23,1009.96,974.61,997.15,694725300,ok,VNINDEX
151,2022-11-07,991.01,996.18,969.61,975.19,534028100,ok,VNINDEX
152,2022-11-08,960.93,981.86,956.97,981.65,542477500,ok,VNINDEX
153,2022-11-09,983.36,994.79,977.93,985.59,466326400,ok,VNINDEX
154,2022-11-10,975.97,976.31,935.78,947.24,637622500,ok,VNINDEX
155,2022-11-11,954.95,966.7,949.49,954.53,646268900,ok,VNINDEX
156,2022-11-14,939.94,945.29,923.53,941.04,599309300,ok,VNINDEX
157,2022-11-15,925.86,929.06,900.17,911.9,589099000,ok,VNINDEX
158,2022-11-16,876.0,945.42,873.78,942.9,934066100,ok,VNINDEX
159,2022-11-17,952.91,972.88,950.9,969.26,589567300,ok,VNINDEX
160,2022-11-18,968.05,971.77,939.73,969.33,833798300,ok,VNINDEX
161,2022-11-21,972.17,973.19,956.77,960.65,522726700,ok,VNINDEX
162,2022-11-22,953.78,985.28,948.52,952.12,978732600,ok,VNINDEX
163,2022-11-23,947.44,958.61,942.02,946.0,488928200,ok,VNINDEX
164,2022-11-24,942.86,950.03,934.31,947.71,482211800,ok,VNINDEX
165,2022-11-25,955.58,971.46,955.53,971.46,554366400,ok,VNINDEX
166,2022-11-28,979.68,1006.22,979.48,1005.69,872397100,ok,VNINDEX
167,2022-11-29,1008.85,1032.16,998.56,1032.16,1101690200,ok,VNINDEX
168,2022-11-30,1037.44,1048.42,1021.54,1048.42,956511200,ok,VNINDEX
169,2022-12-01,1057.72,1066.28,1035.62,1036.28,1263330500,ok,VNINDEX
170,2022-12-02,1032.75,1080.01,1030.81,1080.01,1014241900,ok,VNINDEX
171,2022-12-05,1090.97,1099.45,1082.59,1093.67,1112166800,ok,VNINDEX
172,2022-12-06,1088.9,1090.64,1048.69,1048.69,1356936200,ok,VNINDEX
173,2022-12-07,1046.72,1059.79,1034.92,1041.02,827948300,ok,VNINDEX
174,2022-12-08,1055.21,1078.09,1045.98,1050.53,873712400,ok,VNINDEX
175,2022-12-09,1056.85,1061.21,1041.39,1051.81,725636400,ok,VNINDEX
176,2022-12-12,1059.55,1065.16,1032.07,1032.07,808782100,ok,VNINDEX
177,2022-12-13,1035.76,1047.45,1026.3,1047.45,735828900,ok,VNINDEX
178,2022-12-14,1062.18,1062.18,1046.43,1050.43,667860400,ok,VNINDEX
179,2022-12-15,1049.16,1062.61,1049.06,1055.32,665769400,ok,VNINDEX
180,2022-12-16,1048.62,1064.79,1047.16,1052.48,790237300,ok,VNINDEX
181,2022-12-19,1053.91,1065.59,1038.4,1038.4,852324700,ok,VNINDEX
182,2022-12-20,1035.82,1038.74,1010.08,1023.13,954038800,ok,VNINDEX
183,2022-12-21,1033.34,1033.84,1005.43,1018.88,703570400,ok,VNINDEX
184,2022-12-22,1026.49,1033.18,1016.54,1022.61,531712600,ok,VNINDEX
185,2022-12-23,1023.92,1027.34,1013.2,1020.34,423823400,ok,VNINDEX
186,2022-12-26,1019.66,1021.89,985.21,985.21,566850100,ok,VNINDEX
187,2022-12-27,986.07,1007.88,984.39,1004.57,507205800,ok,VNINDEX
188,2022-12-28,1008.81,1020.52,998.97,1015.66,392271900,ok,VNINDEX
189,2022-12-29,1015.39,1021.96,1009.29,1009.29,371300500,ok,VNINDEX
190,2022-12-30,1017.25,1017.99,1007.09,1007.09,344378600,ok,VNINDEX
191,2023-01-03,1011.39,1043.9,1011.38,1043.9,518145400,ok,VNINDEX
192,2023-01-04,1047.91,1052.6,1041.56,1046.35,566957000,ok,VNINDEX
193,2023-01-05,1048.17,1058.14,1046.64,1055.82,496500700,ok,VNINDEX
194,2023-01-06,1055.46,1065.58,1047.26,1051.44,614634000,ok,VNINDEX
195,2023-01-09,1058.28,1062.12,1050.95,1054.21,386345500,ok,VNINDEX
196,2023-01-10,1054.84,1057.44,1045.75,1053.35,423409900,ok,VNINDEX
197,2023-01-11,1058.25,1065.69,1054.53,1055.76,508219700,ok,VNINDEX
198,2023-01-12,1058.51,1060.97,1050.27,1056.39,384586100,ok,VNINDEX
199,2023-01-13,1060.96,1066.39,1055.23,1060.17,475699700,ok,VNINDEX
200,2023-01-16,1062.27,1067.74,1057.87,1066.68,408111100,ok,VNINDEX
201,2023-01-17,1067.6,1088.29,1067.6,1088.29,592759400,ok,VNINDEX
202,2023-01-18,1092.5,1100.39,1089.56,1098.28,553782600,ok,VNINDEX
203,2023-01-19,1098.28,1111.72,1094.46,1108.08,578271400,ok,VNINDEX
204,2023-01-27,1114.58,1124.3,1111.41,1117.1,571615000,ok,VNINDEX
205,2023-01-30,1117.31,1118.46,1102.57,1102.57,751461500,ok,VNINDEX
206,2023-01-31,1100.87,1111.18,1088.25,1111.18,653586100,ok,VNINDEX
207,2023-02-01,1114.26,1116.96,1075.97,1075.97,974095400,ok,VNINDEX
208,2023-02-02,1079.64,1083.36,1070.81,1077.59,592697500,ok,VNINDEX
209,2023-02-03,1078.8,1081.89,1070.46,1077.15,506090100,ok,VNINDEX
210,2023-02-06,1077.14,1089.29,1067.24,1089.29,415388100,ok,VNINDEX
211,2023-02-07,1089.43,1092.12,1065.18,1065.84,594951800,ok,VNINDEX
212,2023-02-08,1067.58,1079.51,1063.5,1072.22,480268400,ok,VNINDEX
213,2023-02-09,1070.07,1075.2,1064.03,1064.03,383279200,ok,VNINDEX
214,2023-02-10,1066.11,1066.28,1054.08,1055.3,405865100,ok,VNINDEX
215,2023-02-13,1050.7,1054.05,1031.7,1043.7,603924900,ok,VNINDEX
216,2023-02-14,1045.14,1046.64,1032.76,1038.64,338496800,ok,VNINDEX
217,2023-02-15,1037.17,1051.89,1034.39,1048.2,494079200,ok,VNINDEX
218,2023-02-16,1051.16,1058.29,1047.45,1058.29,410294000,ok,VNINDEX
219,2023-02-17,1058.99,1062.25,1053.26,1059.31,429221700,ok,VNINDEX
220,2023-02-20,1059.74,1088.01,1059.56,1086.69,632141800,ok,VNINDEX
221,2023-02-21,1089.74,1095.1,1081.8,1082.23,654784700,ok,VNINDEX
222,2023-02-22,1073.62,1079.72,1054.28,1054.28,766700800,ok,VNINDEX
223,2023-02-23,1053.95,1054.48,1030.58,1053.66,635726600,ok,VNINDEX
224,2023-02-24,1051.58,1052.49,1034.66,1039.56,397316800,ok,VNINDEX
225,2023-02-27,1029.55,1031.59,1017.55,1021.25,513919000,ok,VNINDEX
226,2023-02-28,1027.74,1034.36,1018.72,1024.68,361724100,ok,VNINDEX
227,2023-03-01,1023.29,1040.55,1013.37,1040.55,468712200,ok,VNINDEX
228,2023-03-02,1039.0,1043.8,1033.07,1037.61,323479600,ok,VNINDEX
229,2023-03-03,1038.1,1041.82,1022.78,1024.77,384762000,ok,VNINDEX
230,2023-03-06,1032.68,1042.43,1026.73,1027.18,390065700,ok,VNINDEX
231,2023-03-07,1034.62,1043.92,1033.32,1037.84,424641600,ok,VNINDEX
232,2023-03-08,1028.62,1049.18,1027.8,1049.18,480649600,ok,VNINDEX
233,2023-03-09,1050.65,1060.56,1049.45,1055.95,557648200,ok,VNINDEX
234,2023-03-10,1051.68,1053.86,1046.31,1053.0,456782100,ok,VNINDEX
235,2023-03-13,1046.95,1055.58,1045.46,1052.8,524575300,ok,VNINDEX
236,2023-03-14,1049.44,1051.56,1034.72,1040.13,559130000,ok,VNINDEX
237,2023-03-15,1052.06,1062.55,1043.82,1062.19,549186800,ok,VNINDEX
238,2023-03-16,1056.15,1058.73,1043.65,1047.4,464145200,ok,VNINDEX
239,2023-03-17,1053.47,1055.42,1043.54,1045.14,491829800,ok,VNINDEX
240,2023-03-20,1041.91,1042.6,1022.71,1023.1,476089300,ok,VNINDEX
241,2023-03-21,1027.56,1036.15,1017.05,1032.43,381502100,ok,VNINDEX
242,2023-03-22,1032.6,1042.84,1032.6,1040.54,382708900,ok,VNINDEX
243,2023-03-23,1035.44,1045.1,1030.93,1045.1,369605000,ok,VNINDEX
244,2023-03-24,1047.1,1052.29,1044.02,1046.79,506946000,ok,VNINDEX
245,2023-03-27,1047.78,1053.78,1041.99,1052.25,510473100,ok,VNINDEX
246,2023-03-28,1055.82,1059.83,1051.75,1054.29,583110300,ok,VNINDEX
247,2023-03-29,1055.75,1056.33,1048.26,1056.33,415123800,ok,VNINDEX
248,2023-03-30,1061.32,1066.23,1056.33,1059.44,555220700,ok,VNINDEX
249,2023-03-31,1059.79,1067.55,1059.79,1064.64,574243800,ok,VNINDEX
250,2023-04-03,1071.6,1079.28,1071.6,1079.28,778917800,ok,VNINDEX
251,2023-04-04,1081.43,1082.21,1075.1,1078.45,746158000,ok,VNINDEX
252,2023-04-05,1079.06,1080.86,1074.1,1080.86,706897700,ok,VNINDEX
253,2023-04-06,1083.07,1084.52,1070.91,1070.91,955351800,ok,VNINDEX
254,2023-04-07,1071.22,1072.94,1063.7,1069.71,600601100,ok,VNINDEX
255,2023-04-10,1073.86,1075.54,1063.45,1065.35,789212200,ok,VNINDEX
256,2023-04-11,1063.78,1070.56,1056.9,1069.46,642643100,ok,VNINDEX
257,2023-04-12,1071.61,1072.7,1066.43,1069.45,660883000,ok,VNINDEX
258,2023-04-13,1070.48,1070.96,1062.26,1064.3,595747700,ok,VNINDEX
259,2023-04-14,1067.21,1068.79,1052.89,1052.89,724480200,ok,VNINDEX
260,2023-04-17,1052.78,1054.72,1049.11,1053.81,406570600,ok,VNINDEX
261,2023-04-18,1055.65,1057.15,1050.89,1055.02,494431200,ok,VNINDEX
262,2023-04-19,1058.03,1058.14,1047.47,1048.98,496274700,ok,VNINDEX
263,2023-04-20,1049.87,1051.86,1045.85,1049.25,332580000,ok,VNINDEX
264,2023-04-21,1050.1,1050.4,1041.26,1042.91,512429100,ok,VNINDEX
265,2023-04-24,1045.28,1047.18,1038.36,1041.36,451137200,ok,VNINDEX
266,2023-04-25,1045.87,1045.87,1032.49,1034.85,485690900,ok,VNINDEX
267,2023-04-26,1034.18,1040.8,1029.19,1040.8,431573300,ok,VNINDEX
268,2023-04-27,1041.39,1044.25,1037.62,1039.63,466451200,ok,VNINDEX
269,2023-04-28,1043.17,1049.12,1039.63,1049.12,571699400,ok,VNINDEX
270,2023-05-04,1046.05,1048.13,1038.18,1040.61,571590000,ok,VNINDEX
271,2023-05-05,1040.12,1043.22,1036.69,1040.31,439888400,ok,VNINDEX
272,2023-05-08,1043.48,1053.44,1043.44,1053.44,591247600,ok,VNINDEX
273,2023-05-09,1055.42,1058.71,1052.68,1053.77,502515300,ok,VNINDEX
274,2023-05-10,1055.62,1058.67,1053.34,1058.26,650680600,ok,VNINDEX
275,2023-05-11,1061.07,1063.69,1056.72,1057.12,681482900,ok,VNINDEX
276,2023-05-12,1057.58,1066.9,1053.97,1066.9,688543800,ok,VNINDEX
277,2023-05-15,1074.82,1076.32,1067.15,1065.71,791524900,ok,VNINDEX
278,2023-05-16,1068.51,1069.27,1063.65,1065.91,592131700,ok,VNINDEX
279,2023-05-17,1066.13,1069.95,1060.44,1060.44,762187700,ok,VNINDEX
280,2023-05-18,1063.66,1073.41,1060.44,1068.31,590882500,ok,VNINDEX
281,2023-05-19,1070.13,1070.15,1058.56,1067.07,661637200,ok,VNINDEX
282,2023-05-22,1068.25,1070.64,1065.88,1070.64,634063400,ok,VNINDEX
283,2023-05-23,1073.12,1073.96,1062.15,1065.85,668600300,ok,VNINDEX
284,2023-05-24,1069.49,1069.61,1060.6,1061.79,682648400,ok,VNINDEX
285,2023-05-25,1062.03,1065.5,1057.91,1064.63,614115100,ok,VNINDEX
286,2023-05-26,1066.72,1067.28,1063.76,1063.76,595849900,ok,VNINDEX
287,2023-05-29,1066.34,1077.18,1066.34,1074.98,738474500,ok,VNINDEX
288,2023-05-30,1078.82,1079.31,1071.01,1078.05,816002500,ok,VNINDEX
289,2023-05-31,1078.16,1079.11,1071.38,1075.17,861773100,ok,VNINDEX
290,2023-06-01,1076.5,1078.39,1071.61,1078.39,820193400,ok,VNINDEX
291,2023-06-02,1084.19,1092.24,1083.36,1090.84,973372400,ok,VNINDEX
292,2023-06-05,1099.66,1103.81,1096.76,1097.82,893972900,ok,VNINDEX
293,2023-06-06,1098.8,1108.31,1098.28,1108.31,782675900,ok,VNINDEX
294,2023-06-07,1110.79,1112.28,1104.26,1109.54,930395400,ok,VNINDEX
295,2023-06-08,1111.73,1115.14,1101.32,1101.32,1211637500,ok,VNINDEX
296,2023-06-09,1103.01,1107.53,1097.23,1107.53,839731400,ok,VNINDEX
297,2023-06-12,1110.26,1116.02,1100.08,1116.02,726269400,ok,VNINDEX
298,2023-06-13,1117.33,1122.46,1116.1,1122.46,870411600,ok,VNINDEX
299,2023-06-14,1124.56,1129.49,1117.42,1117.42,845985500,ok,VNINDEX
300,2023-06-15,1116.99,1120.13,1112.11,1116.97,675615200,ok,VNINDEX
301,2023-06-16,1117.08,1128.92,1112.51,1115.22,1075388700,ok,VNINDEX
302,2023-06-19,1115.59,1117.23,1104.73,1105.4,723615800,ok,VNINDEX
303,2023-06-20,1105.75,1111.72,1102.58,1111.72,593021300,ok,VNINDEX
304,2023-06-21,1112.73,1118.46,1110.65,1118.46,800466000,ok,VNINDEX
305,2023-06-22,1126.21,1127.54,1122.27,1125.3,828954300,ok,VNINDEX
306,2023-06-23,1126.4,1130.61,1122.62,1129.38,857067500,ok,VNINDEX
307,2023-06-26,1130.08,1134.0,1119.95,1132.03,955006800,ok,VNINDEX
308,2023-06-27,1134.36,1136.49,1128.82,1134.33,641633700,ok,VNINDEX
309,2023-06-28,1135.78,1140.56,1131.86,1138.35,772870700,ok,VNINDEX
310,2023-06-29,1139.42,1140.43,1125.39,1125.39,839096000,ok,VNINDEX
311,2023-06-30,1125.32,1126.33,1120.01,1120.18,543467000,ok,VNINDEX
312,2023-07-03,1124.96,1128.35,1121.17,1125.5,502324200,ok,VNINDEX
313,2023-07-04,1127.15,1132.12,1123.49,1132.0,638567700,ok,VNINDEX
314,2023-07-05,1136.64,1138.67,1133.45,1134.62,744832500,ok,VNINDEX
315,2023-07-06,1134.49,1135.81,1122.35,1126.22,870574400,ok,VNINDEX
316,2023-07-07,1124.98,1138.07,1122.94,1138.07,713850500,ok,VNINDEX
317,2023-07-10,1142.76,1149.02,1140.03,1149.02,814696500,ok,VNINDEX
318,2023-07-11,1149.38,1157.01,1149.38,1151.77,851005600,ok,VNINDEX
319,2023-07-12,1153.72,1157.43,1149.28,1154.2,696536100,ok,VNINDEX
320,2023-07-13,1159.75,1165.42,1158.15,1165.42,760650800,ok,VNINDEX
321,2023-07-14,1169.2,1169.84,1156.28,1168.4,973749100,ok,VNINDEX
322,2023-07-17,1171.75,1174.89,1168.4,1173.13,851144600,ok,VNINDEX
323,2023-07-18,1173.15,1175.7,1170.04,1174.09,755379600,ok,VNINDEX
324,2023-07-19,1177.5,1178.55,1172.98,1172.98,798154200,ok,VNINDEX
325,2023-07-20,1171.83,1174.39,1166.62,1172.81,739529900,ok,VNINDEX
326,2023-07-21,1173.21,1185.9,1172.07,1185.9,896244200,ok,VNINDEX
