date,A2C,DDPG,PPO,TD3,SAC,Ensemble,VNINDEX
2019-06-25,9826241395.42661,10098456952.534618,9982922323.830677,10118366245.880415,9971600160.950525,10018976845.966265,10766806840.482197
2019-06-26,9830318156.417871,10101383786.666212,9984129570.573446,10119148512.188213,9970607873.843216,10011645588.14898,10755592935.239697
2019-06-27,9817824131.514,10038480996.205433,9979694396.52794,10040504096.839832,9941048436.906624,9992516089.756348,10575946173.254835
2019-06-28,9822928288.267403,10071679472.61977,9981173277.010263,10078946675.228924,9958824383.581545,10001425222.3406,10652537146.061117
2019-07-01,9852742581.280546,10124695865.443789,9986550518.137257,10144403943.826149,9995445507.46993,10021374391.63886,10828259041.211102
2019-07-02,9852316852.250149,10091852214.807545,9984862962.770683,10105373145.18678,9974218688.858133,10005753691.846024,10787552565.180824
2019-07-03,9870209273.089397,10084354665.556847,9985316946.228539,10087502330.36327,9969388611.99595,9993663797.71396,10769722455.845247
2019-07-04,9880271597.364502,10137618787.680641,9987550308.249155,10146210550.611841,9993243192.052929,10019079731.14854,10911578357.162882
2019-07-05,9886197484.893932,10141353204.863045,9987657625.00624,10141246956.41481,9996332233.498201,10019464322.410933,10937370339.220633
2019-07-08,9864339315.917198,10115405125.145603,9984696867.14066,10108823928.323261,9961182787.385296,10004400621.287884,10836557331.090553
2019-07-09,9878132081.441025,10118889697.486958,9986244294.959236,10122361974.161182,9968724625.989193,10009303481.242304,10866834875.245304
2019-07-10,9891207180.42022,10135592767.862331,9986977930.366028,10152223767.988434,9983754552.542233,10020298399.112305,10918418839.360806
2019-07-11,9902022192.937271,10129214572.74931,9986557503.603027,10144987195.217701,9983577855.641817,10030111998.949154,10974264087.468462
2019-07-12,9886143840.997448,10102537631.228855,9984190669.206879,10112823573.63921,9961393783.224558,10020817961.799858,10938043173.535183
2019-07-15,9869653300.48736,10074999595.483425,9982294332.214485,10084254100.760567,9924734919.277115,10012592625.000477,10905859265.489206
2019-07-16,9894308112.434965,10108449053.610065,9983068103.60827,10122077069.757282,9946249358.162716,10028632747.442747,11013288477.712364
2019-07-17,9937884485.2566,10097842538.32148,9986023457.35458,10111505771.621426,9956909032.410757,10032895082.456575,11018446874.123915
2019-07-18,9899904865.171133,10034508335.581116,9980877303.478054,10037180498.807447,9930780623.888348,10019206401.151756,10945332211.942808
2019-07-19,9907117061.327702,10098205212.077446,9984329054.669415,10111098015.241827,9965852884.808903,10041865598.299168,11015867675.918139
2019-07-22,9901154388.74573,10104864607.699749,9981433480.584429,10113950173.067568,9945902000.153908,10036310121.306942,11012503504.345388
2019-07-23,9881169031.259024,10156720860.754045,9982117912.511454,10163018489.689295,9989960328.085154,10052811483.852743,11095710681.244743
2019-07-24,9887919955.712711,10168493810.498106,9981018302.597755,10173039554.565166,10007922920.740929,10046934596.903387,11083936080.740118
2019-07-25,9878249386.362928,10187350756.266125,9979043422.622778,10186224494.636066,10016940235.419495,10054564250.787642,11157275021.026072
2019-07-26,9875093898.572311,10171521747.24614,9977661156.925953,10173299195.431377,9993841762.36929,10052230181.097618,11139332772.638071
2019-07-29,9862650030.425045,10221151950.53688,9975614166.100504,10220374128.547306,9998053987.01779,10068120542.136118,11190804597.701149
2019-07-30,9851987738.593666,10176369411.631609,9972858970.514692,10163967199.574795,9967102196.495106,10047919808.638096,11057134847.21054
2019-07-31,9834105806.566366,10166514419.573757,9972020356.544247,10161716112.355835,9965986757.7261,10045173739.86926,11120381272.778244
2019-08-01,9846265673.562351,10206871731.92936,9973602678.136168,10200935084.499216,10006943733.307652,10058468840.004951,11184636949.817774
2019-08-02,9824109524.843327,10148190493.48797,9971258961.244038,10137897069.942005,9972208292.487646,10037291534.374777,11114101485.842445
2019-08-05,9742126064.611515,10037156447.855587,9963412803.579422,10016778374.807087,9878656500.166622,9998059682.70481,10912811886.739557
2019-08-06,9701400770.296501,10018363832.314152,9955380631.45074,9970875598.635891,9857738778.476618,9979843961.12091,10817045135.968601
2019-08-07,9682831800.114925,10004055160.240616,9953228222.908672,9964279677.388958,9848602860.943218,9982656935.439934,10831847490.888702
2019-08-08,9750677830.36321,10084884477.290651,9956313390.26372,10068524520.665297,9926908952.953587,10016205368.413168,10936248948.696383
2019-08-09,9723661499.311863,10089602086.092983,9960670412.32489,10075806208.36042,9907289601.0277,10016449118.875034,10926156433.978134
2019-08-12,9726246163.699402,10079526279.642622,9960761385.643492,10071262054.939518,9899495070.991901,10012891802.235376,10937033922.063356
2019-08-13,9677417040.703068,10037693795.58003,9959056035.423176,10024436337.093235,9834060789.734741,9996033876.729218,10841940005.606955
2019-08-14,9695374735.703295,10040400875.419773,9959319739.47217,10030236571.536636,9846991572.849255,9999031263.443586,10865264928.511353
2019-08-15,9727076243.654987,10116230849.4026,9965141606.179888,10120757925.74286,9902340472.180462,10022022278.93253,10982674516.400337
