date,ensemble
2020-03-27,9907918521.10819
2020-03-30,9907918521.10819
2020-03-31,9907966172.972317
2020-04-01,9907937618.678411
2020-04-03,9908743058.28457
2020-04-06,9911162000.167473
2020-04-07,9911259645.285255
2020-04-08,9909880314.556051
2020-04-09,9911622719.12313
2020-04-10,9911180135.698132
2020-04-13,9912356236.54969
2020-04-14,9912769480.641506
2020-04-15,9913472481.067171
2020-04-16,9913276521.942072
2020-04-17,9914839948.726698
2020-04-20,9915451912.874569
2020-04-21,9908993922.492374
2020-04-22,9909976685.725365
2020-04-23,9910557576.1091
2020-04-24,9911844826.401972
2020-04-27,9910101783.267954
2020-04-28,9909683729.104496
2020-04-29,9910363080.769142
2020-05-04,9908529280.194204
2020-05-05,9909858650.688374
2020-05-06,9913429982.865782
2020-05-07,9915239978.930937
2020-05-08,9917962982.712387
2020-05-11,9920375887.2454
2020-05-12,9922249582.83142
2020-05-13,9922715610.451672
2020-05-14,9923231289.442848
2020-05-15,9921081046.134651
2020-05-18,9922325867.771292
2020-05-19,9924523908.955318
2020-05-20,9926036090.25738
2020-05-21,9928712340.8323
2020-05-22,9924905689.283634
2020-05-25,9927383263.792692
2020-05-26,9931459351.773724
2020-05-27,9927423863.176777
2020-05-28,9927618480.409946
2020-05-29,9928332227.381542
2020-06-01,9932527518.115866
2020-06-02,9931577499.46813
2020-06-03,9933894369.826044
2020-06-04,9934533178.88968
2020-06-05,9935561005.960508
2020-06-08,9941793687.7629
2020-06-09,9943420039.84674
2020-06-10,9944262641.413128
2020-06-11,9930903114.921415
2020-06-12,9928468639.385809
2020-06-15,9928018554.981462
2020-06-16,9928469188.587893
2020-06-17,9927901900.123545
2020-06-18,9927615235.900658
2020-06-19,9928716400.979733
2020-06-22,9928544818.725504
2020-06-23,9927944620.292984
2020-06-24,9927455212.841616
2020-06-25,9927059102.1413
2020-06-26,9925829692.971668
2020-06-29,9923001423.321377
2020-06-30,9922245975.196554
2020-07-01,9924903792.813242
2020-07-02,9924431137.115396
2020-07-03,9925001310.333132
2020-07-06,9926536812.148111
2020-07-07,9926152808.519514
2020-07-08,9926005809.568224
2020-07-09,9927114058.477688
2020-07-10,9926495917.315989
2020-07-13,9926118700.793028
2020-07-14,9926210462.66578
2020-07-15,9926435477.446404
2020-07-16,9926598165.874348
2020-07-17,9926148842.667583
2020-07-20,9924669030.264034
2020-07-21,9924993241.64466
2020-07-22,9923621346.293997
2020-07-23,9922185323.471592
2020-07-24,9915111485.03125
2020-07-27,9903954535.55164
2020-07-28,9911926849.47699
2020-07-29,9907829935.256714
